"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","4 vCPUs","2500 GB NVMe SSD","Up to 25 Gigabit","$0.5000 hourly","$0.3410 hourly","$0.1500 hourly","$0.6840 hourly","$0.5250 hourly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5040 hourly","$0.3180 hourly","$0.1550 hourly","$0.8720 hourly","$0.6860 hourly"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","8 vCPUs","474 GB NVMe SSD","Up to 10 Gigabit","$0.5200 hourly","$0.3276 hourly","$0.1422 hourly","unavailable","unavailable"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","8 vCPUs","300 GB NVMe SSD","Up to 10 Gigabit","$0.5320 hourly","$0.3350 hourly","$0.1631 hourly","$0.9000 hourly","$0.7030 hourly"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.5400 hourly","$0.3400 hourly","$0.1524 hourly","$0.9080 hourly","$0.7080 hourly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","4 vCPUs","850 GB HDD","Moderate","$0.5500 hourly","$0.2680 hourly","$0.3163 hourly","$0.7500 hourly","$0.6250 hourly"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5600 hourly","$0.3530 hourly","$0.1381 hourly","$0.9280 hourly","$0.7210 hourly"
"R6I Double Extra Large","r6i.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.5600 hourly","$0.3704 hourly","$0.1422 hourly","$0.9280 hourly","$0.7384 hourly"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","8 vCPUs","300 GB NVMe SSD","Up to 10 Gigabit","$0.5920 hourly","$0.3730 hourly","$0.1541 hourly","$0.9600 hourly","$0.7410 hourly"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","8 vCPUs","1680 GB (4 * 420 GB HDD)","High","$0.5920 hourly","$0.4440 hourly","$0.4144 hourly","$0.9120 hourly","$0.8150 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5928 hourly","$0.3738 hourly","$0.1347 hourly","$0.9608 hourly","$0.7418 hourly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","8 vCPUs","160 GB (2 * 80 GB SSD)","High","$0.6160 hourly","$0.4640 hourly","$0.1635 hourly","$1.1200 hourly","$0.9350 hourly"
"G4DN Extra Large","g4dn.xlarge","16.0 GiB","4 vCPUs","125 GB NVMe SSD","Up to 25 Gigabit","$0.6310 hourly","$0.4440 hourly","$0.1893 hourly","$0.8150 hourly","$0.6280 hourly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","8 vCPUs","300 GB NVMe SSD","Up to 10 Gigabit","$0.6480 hourly","$0.4080 hourly","$0.2034 hourly","$1.0160 hourly","$0.7760 hourly"
"R5N Double Extra Large","r5n.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.6760 hourly","$0.4270 hourly","$0.1499 hourly","$1.0440 hourly","$0.7950 hourly"
"C6G Quadruple Extra Large","c6g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.6784 hourly","$0.4274 hourly","$0.2585 hourly","unavailable","unavailable"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","8 vCPUs","1900 GB NVMe SSD","Up to 10 Gigabit","$0.6880 hourly","$0.4700 hourly","$0.2122 hourly","$1.0560 hourly","$0.8380 hourly"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","8 vCPUs","60 GB SSD","Moderate","$0.7020 hourly","$0.5140 hourly","$0.2106 hourly","$0.8190 hourly","$0.6510 hourly"
"M6G Quadruple Extra Large","m6g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.7168 hourly","$0.4516 hourly","$0.2714 hourly","unavailable","unavailable"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","8 vCPUs","160 GB SSD","High","$0.7410 hourly","$0.5430 hourly","$0.1228 hourly","$1.1340 hourly","$0.9000 hourly"
"I4I Double Extra Large","i4i.2xlarge","64.0 GiB","8 vCPUs","1875 GB NVMe SSD","Up to 12 Gigabit","$0.7570 hourly","$0.4930 hourly","$0.2271 hourly","$1.1250 hourly","$0.8610 hourly"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.7600 hourly","$0.4790 hourly","$0.3254 hourly","$1.4960 hourly","$1.2150 hourly"
"C6A Quadruple Extra Large","c6a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.7632 hourly","$0.5040 hourly","$0.3321 hourly","$1.4992 hourly","$1.2400 hourly"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","16 vCPUs","950 GB NVMe SSD","Up to 10 Gigabit","$0.7680 hourly","$0.4872 hourly","$0.2615 hourly","unavailable","unavailable"
"M5ZN Double Extra Large","m5zn.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.7708 hourly","$0.4831 hourly","$0.1611 hourly","$1.1388 hourly","$0.8511 hourly"
"D2 Extra Large","d2.xlarge","30.5 GiB","4 vCPUs","6144 GB (3 * 2048 GB HDD)","Moderate","$0.7810 hourly","$0.4910 hourly","$0.2343 hourly","$0.9650 hourly","$0.6750 hourly"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.8064 hourly","$0.5319 hourly","$0.2763 hourly","$1.5424 hourly","$1.2678 hourly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.8080 hourly","$0.5090 hourly","$0.3152 hourly","$1.5440 hourly","$1.2450 hourly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","8 vCPUs","300 GB NVMe SSD","Up to 10 Gigabit","$0.8440 hourly","$0.5320 hourly","$0.3337 hourly","$1.2120 hourly","$0.9000 hourly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.8480 hourly","$0.5340 hourly","$0.3002 hourly","$1.5840 hourly","$1.2700 hourly"
"C6I Quadruple Extra Large","c6i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.8480 hourly","$0.5601 hourly","$0.3872 hourly","$1.5840 hourly","$1.2961 hourly"
"M6GD Quadruple Extra Large","m6gd.4xlarge","64.0 GiB","16 vCPUs","950 GB NVMe SSD","Up to 10 Gigabit","$0.8480 hourly","$0.5376 hourly","$0.3339 hourly","unavailable","unavailable"
"C6GN Quadruple Extra Large","c6gn.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$0.8640 hourly","$0.5460 hourly","$0.2783 hourly","unavailable","unavailable"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.8960 hourly","$0.5640 hourly","$0.3490 hourly","$1.6320 hourly","$1.3000 hourly"
"M6I Quadruple Extra Large","m6i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.8960 hourly","$0.5909 hourly","$0.3811 hourly","$1.6320 hourly","$1.3269 hourly"
"R6G Quadruple Extra Large","r6g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.8960 hourly","$0.5645 hourly","$0.2843 hourly","unavailable","unavailable"
"G4DN Double Extra Large","g4dn.2xlarge","32.0 GiB","8 vCPUs","225 GB NVMe SSD","Up to 25 Gigabit","$0.9020 hourly","$0.6350 hourly","$0.2706 hourly","$1.2700 hourly","$1.0030 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","16 vCPUs","EBS only","High","$0.9360 hourly","$0.6804 hourly","$0.3626 hourly","$1.6720 hourly","$1.4164 hourly"
"I2 Extra Large","i2.xlarge","30.5 GiB","4 vCPUs","800 GB SSD","Moderate","$0.9380 hourly","$0.5150 hourly","$0.2814 hourly","$1.0580 hourly","$0.7060 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","320 GB (2 * 160 GB SSD)","High","$0.9560 hourly","$0.7200 hourly","$0.2233 hourly","$1.5040 hourly","$1.4820 hourly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","16 vCPUs","400 GB NVMe SSD","Up to 10 Gigabit","$0.9600 hourly","$0.6050 hourly","$0.3275 hourly","$1.6960 hourly","$1.3410 hourly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","16 vCPUs","600 GB (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.9760 hourly","$0.6150 hourly","$0.3263 hourly","$1.7120 hourly","$1.3510 hourly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","16 vCPUs","EBS only","High","$0.9970 hourly","$0.6800 hourly","$0.3628 hourly","$1.7330 hourly","$1.4160 hourly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","5000 GB (2 * 2500 GB NVMe SSD)","Up to 25 Gigabit","$1.0000 hourly","$0.6830 hourly","$0.3000 hourly","$1.3680 hourly","$1.0510 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.0080 hourly","$0.6350 hourly","$0.2991 hourly","$1.7440 hourly","$1.3710 hourly"
"R6GD Quadruple Extra Large","r6gd.4xlarge","128.0 GiB","16 vCPUs","950 GB NVMe SSD","Up to 10 Gigabit","$1.0400 hourly","$0.6552 hourly","$0.2843 hourly","unavailable","unavailable"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","600 GB (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.0640 hourly","$0.6700 hourly","$0.3346 hourly","$1.8000 hourly","$1.4060 hourly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$1.0800 hourly","$0.6800 hourly","$0.2556 hourly","$1.8160 hourly","$1.4160 hourly"
"X2IEDN Extra Large","x2iedn.xlarge","128.0 GiB","4 vCPUs","118 GB NVMe SSD","Up to 25 Gigabit","$1.0837 hourly","$0.6668 hourly","$0.3251 hourly","$1.2677 hourly","$0.8508 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","8 vCPUs","1680 GB (2 * 840 GB HDD)","High","$1.1000 hourly","$0.5360 hourly","$1.1000 hourly","$1.5000 hourly","$1.2520 hourly"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$1.1200 hourly","$0.7409 hourly","$0.3627 hourly","$1.8560 hourly","$1.4769 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.1200 hourly","$0.7060 hourly","$0.3313 hourly","$1.8560 hourly","$1.4420 hourly"
"M5ZN 3xlarge","m5zn.3xlarge","48.0 GiB","12 vCPUs","EBS only","Up to 25 Gigabit","$1.1562 hourly","$0.7247 hourly","$0.2840 hourly","$1.7082 hourly","$1.2767 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","600 GB (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.1840 hourly","$0.7460 hourly","$0.3954 hourly","$1.9200 hourly","$1.4820 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.1856 hourly","$0.7476 hourly","$0.3301 hourly","$1.9216 hourly","$1.4836 hourly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","450 GB NVMe SSD","Up to 10 Gigabit","$1.2660 hourly","$0.7980 hourly","$0.4317 hourly","$1.8180 hourly","$1.3500 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","600 GB (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.2960 hourly","$0.8160 hourly","$0.5439 hourly","$2.0320 hourly","$1.5520 hourly"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$1.3520 hourly","$0.8530 hourly","$0.3193 hourly","$2.0880 hourly","$1.5890 hourly"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.3568 hourly","$0.8548 hourly","$0.5511 hourly","unavailable","unavailable"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","Up to 10 Gigabit","$1.3760 hourly","$0.9410 hourly","$0.4128 hourly","$2.1120 hourly","$1.6770 hourly"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","EBS only","25 Gigabit","$1.4180 hourly","$0.8930 hourly","$0.4254 hourly","unavailable","unavailable"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.4336 hourly","$0.9032 hourly","$0.7306 hourly","unavailable","unavailable"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","225 GB NVMe SSD","Up to 25 Gigabit","$1.4450 hourly","$1.0160 hourly","$0.4335 hourly","$2.1810 hourly","$1.7520 hourly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","16 vCPUs","320 GB SSD","High","$1.4820 hourly","$1.0870 hourly","$0.2456 hourly","$2.1110 hourly","$1.5840 hourly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","7500 GB NVMe SSD","Up to 25 Gigabit","$1.5000 hourly","$1.0240 hourly","$0.4500 hourly","$2.0520 hourly","$1.5760 hourly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","3750 GB NVMe SSD","Up to 25 Gigabit","$1.5140 hourly","$0.9870 hourly","$0.7580 hourly","$2.2500 hourly","$1.7230 hourly"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","EBS only","10 Gigabit","$1.5200 hourly","$0.9580 hourly","$0.6021 hourly","$2.9920 hourly","$2.4300 hourly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.5264 hourly","$1.0080 hourly","$0.6422 hourly","$2.9984 hourly","$2.4800 hourly"
"G3 Graphics GPU Quadruple Extra Large","g3.4xlarge","122.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.5340 hourly","$1.0700 hourly","$0.4602 hourly","$2.2700 hourly","$1.8060 hourly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB NVMe SSD","12 Gigabit","$1.5360 hourly","$0.9745 hourly","$0.5328 hourly","unavailable","unavailable"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","12288 GB (6 * 2048 GB HDD)","High","$1.5630 hourly","$0.9830 hourly","$0.4689 hourly","$1.9310 hourly","$1.3510 hourly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.6128 hourly","$1.0637 hourly","$0.5997 hourly","$3.0848 hourly","$2.5357 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$1.6160 hourly","$1.0180 hourly","$0.9015 hourly","$3.0880 hourly","$2.4900 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.6960 hourly","$1.1201 hourly","$0.6681 hourly","$3.1680 hourly","$2.5921 hourly"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB NVMe SSD","12 Gigabit","$1.6960 hourly","$1.0752 hourly","$0.5428 hourly","unavailable","unavailable"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","$1.7280 hourly","$1.0920 hourly","$0.5501 hourly","unavailable","unavailable"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.7920 hourly","$1.1819 hourly","$0.8386 hourly","$3.2640 hourly","$2.6539 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","EBS only","10 Gigabit","$1.7920 hourly","$1.1290 hourly","$0.5593 hourly","$3.2640 hourly","$2.6010 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.7920 hourly","$1.1290 hourly","$0.5687 hourly","unavailable","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","1600 GB (2 * 800 GB SSD)","High","$1.8760 hourly","$1.0300 hourly","$1.1096 hourly","$2.1160 hourly","$1.4140 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","EBS only","12 Gigabit","$1.9080 hourly","$1.2020 hourly","$0.6877 hourly","$3.5640 hourly","$2.8580 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","640 GB (2 * 320 GB SSD)","10 Gigabit","$1.9120 hourly","$1.4400 hourly","$1.4924 hourly","$3.0080 hourly","$2.9610 hourly"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.9520 hourly","$1.2300 hourly","$0.7594 hourly","$3.4240 hourly","$2.7020 hourly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","EBS only","10 Gigabit","$1.9930 hourly","$1.3610 hourly","$0.5600 hourly","$3.5360 hourly","$3.0170 hourly"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$2.0160 hourly","$1.2700 hourly","$0.7903 hourly","$3.4880 hourly","$2.7420 hourly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","EBS only","20 Gigabit","$2.0352 hourly","$1.2822 hourly","$0.8255 hourly","unavailable","unavailable"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB NVMe SSD","12 Gigabit","$2.0800 hourly","$1.3104 hourly","$0.5687 hourly","unavailable","unavailable"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","1200 GB (2 * 600 GB NVMe SSD)","10 Gigabit","$2.1280 hourly","$1.3410 hourly","$0.7360 hourly","$3.6000 hourly","$2.8130 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","EBS only","20 Gigabit","$2.1504 hourly","$1.3548 hourly","$0.8963 hourly","unavailable","unavailable"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","900 GB NVMe SSD","12 Gigabit","$2.1600 hourly","$1.3610 hourly","$0.7452 hourly","$3.8160 hourly","$3.0170 hourly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","237 GB NVMe SSD","Up to 25 Gigabit","$2.1675 hourly","$1.3337 hourly","$0.6503 hourly","$2.5355 hourly","$1.7017 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.2400 hourly","$1.4110 hourly","$0.7915 hourly","$3.7120 hourly","$2.8830 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$2.2400 hourly","$1.4818 hourly","$0.8191 hourly","$3.7120 hourly","$2.9538 hourly"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.2800 hourly","$1.4360 hourly","$0.9025 hourly","$4.4880 hourly","$3.6440 hourly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.2896 hourly","$1.5121 hourly","$1.1119 hourly","$4.4976 hourly","$3.7201 hourly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.3040 hourly","$1.4617 hourly","$0.7755 hourly","unavailable","unavailable"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","24 vCPUs","EBS only","50 Gigabit","$2.3124 hourly","$1.4494 hourly","$0.5479 hourly","$3.4164 hourly","$2.5534 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","EBS only","10 Gigabit","$2.3400 hourly","$1.7010 hourly","$0.6155 hourly","$4.1800 hourly","$3.5410 hourly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","1200 GB (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$2.3680 hourly","$1.4920 hourly","$1.0183 hourly","$3.8400 hourly","$2.9640 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.3712 hourly","$1.4952 hourly","$0.5983 hourly","$3.8432 hourly","$2.9672 hourly"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.4192 hourly","$1.5955 hourly","$0.9037 hourly","$4.6272 hourly","$3.8035 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","EBS only","10 Gigabit","$2.4240 hourly","$1.5270 hourly","$1.0191 hourly","$4.6320 hourly","$3.7350 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","EBS only","50 Gigabit","$2.4300 hourly","$1.5310 hourly","$0.5539 hourly","$4.0860 hourly","$3.1870 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","900 GB NVMe SSD","12 Gigabit","$2.5320 hourly","$1.5950 hourly","$0.7596 hourly","$3.6360 hourly","$2.6990 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.5440 hourly","$1.6030 hourly","$0.7385 hourly","$4.7520 hourly","$3.8110 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.5440 hourly","$1.6802 hourly","$1.0003 hourly","$4.7520 hourly","$3.8882 hourly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.5440 hourly","$1.6129 hourly","$2.0782 hourly","unavailable","unavailable"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","$2.5920 hourly","$1.6380 hourly","$2.5920 hourly","unavailable","unavailable"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","1200 GB (2 * 600 GB NVMe SSD)","10 Gigabit","$2.5920 hourly","$1.6330 hourly","$0.7995 hourly","$4.0640 hourly","$3.1050 hourly"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","900 GB NVMe SSD","50 Gigabit","$2.6110 hourly","$1.8370 hourly","$0.7833 hourly","$4.0830 hourly","$3.3090 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.6880 hourly","$1.6930 hourly","$0.7755 hourly","$4.8960 hourly","$3.9010 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.6880 hourly","$1.7728 hourly","$1.0905 hourly","$4.8960 hourly","$3.9808 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","EBS only","20 Gigabit","$2.6880 hourly","$1.6934 hourly","$0.9355 hourly","unavailable","unavailable"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","EBS only","25 Gigabit","$2.7040 hourly","$1.7060 hourly","$0.8532 hourly","$4.1760 hourly","$3.1780 hourly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.7136 hourly","$1.7096 hourly","$1.1039 hourly","unavailable","unavailable"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.7136 hourly","$1.7096 hourly","$1.0340 hourly","unavailable","unavailable"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","10 Gigabit","$2.7520 hourly","$1.8820 hourly","$0.8256 hourly","$4.2240 hourly","$3.3540 hourly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","240 GB (2 * 120 GB SSD)","High","$2.8080 hourly","$2.0560 hourly","$1.8252 hourly","$3.0860 hourly","$2.1390 hourly"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.8672 hourly","$1.8063 hourly","$1.0857 hourly","unavailable","unavailable"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.8672 hourly","$1.8063 hourly","$1.0857 hourly","unavailable","unavailable"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","12 Gigabit","$2.8800 hourly","$1.8140 hourly","$0.9093 hourly","$5.0880 hourly","$4.0220 hourly"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","10 Gigabit","$2.9280 hourly","$1.8450 hourly","$1.1428 hourly","$5.1360 hourly","$4.0530 hourly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","640 GB (2 * 320 GB SSD)","10 Gigabit","$2.9640 hourly","$2.1740 hourly","$0.5023 hourly","$3.8000 hourly","$2.5180 hourly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","15000 GB (2 * 7500 GB NVMe SSD)","25 Gigabit","$3.0000 hourly","$2.0490 hourly","$0.9000 hourly","$4.1040 hourly","$3.1530 hourly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","EBS only","10 Gigabit","$3.0240 hourly","$1.9050 hourly","$0.9621 hourly","$5.2320 hourly","$4.1130 hourly"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","7500 GB (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$3.0270 hourly","$1.9740 hourly","$1.0880 hourly","$4.4990 hourly","$3.4460 hourly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","EBS only","20 Gigabit","$3.0400 hourly","$1.9150 hourly","$1.0939 hourly","$5.9840 hourly","$4.8590 hourly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.0528 hourly","$2.0161 hourly","$1.0340 hourly","$5.9968 hourly","$4.9601 hourly"
